PLAYER_ID,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
2544,5,6,58,1,0
2544,1,-5,15,1,0
2544,1,3,10,1,0
2544,28,-183,212,1,0
2544,26,-3,268,1,0
2544,6,62,32,1,1
2544,5,0,50,1,1
2544,26,214,149,1,0
2544,27,-22,270,1,0
2544,27,-145,237,1,0
2544,2,0,26,1,0
2544,4,-30,38,1,0
2544,20,-114,170,1,0
2544,26,93,252,1,0
2544,3,18,25,1,0
2544,17,-5,178,1,0
2544,25,-228,112,1,1
2544,2,6,21,1,1
2544,2,19,11,1,0
2544,1,2,13,1,1
2544,1,5,11,1,1
2544,21,99,193,1,0
2544,27,-152,231,1,1
2544,24,-220,104,1,0
2544,29,165,246,1,0
2544,18,103,157,1,1
2544,27,-145,232,1,1
2544,7,57,52,1,1
2544,26,-131,226,1,0
2544,26,-207,164,1,0
2544,7,-26,72,1,0
2544,5,-26,51,1,0
2544,25,-70,242,1,0
2544,25,-192,167,1,0
2544,2,-16,13,1,0
2544,25,-165,195,1,0
2544,1,12,4,1,1
2544,15,-89,125,1,1
2544,2,12,19,1,0
2544,0,0,-6,1,1
2544,26,-47,264,1,0
2544,27,16,278,1,0
2544,0,0,-6,1,1
2544,4,-6,48,1,1
2544,16,143,91,1,1
2544,25,116,232,1,0
2544,6,-8,69,1,0
2544,26,-95,252,1,1
2544,26,-170,209,1,1
2544,21,-5,214,1,1
2544,25,-123,220,1,0
2544,26,147,222,1,0
2544,25,178,176,1,0
2544,2,12,17,1,1
2544,14,-2,141,1,0
2544,22,226,-8,1,1
2544,1,11,8,1,1
2544,1,-4,16,1,1
2544,0,-9,1,1,1
2544,24,172,174,1,0
2544,24,-199,147,1,0
2544,20,47,202,1,1
2544,20,30,199,1,0
2544,27,-190,205,1,0
2544,1,13,7,1,0
2544,1,4,10,1,0
2544,0,0,-6,1,1
2544,3,-28,11,1,0
2544,16,163,15,1,1
2544,2,25,16,1,0
2544,3,-18,24,1,0
2544,25,-108,227,1,0
2544,12,-4,121,1,0
2544,8,-13,85,1,0
2544,23,228,31,1,1
2544,16,22,160,1,0
2544,26,120,237,1,1
2544,27,68,265,1,0
